N,P,K,temperature,humidity,ph,rainfall,crop,location,season,yield
95,31,39,21.53,81.9,5.16,249.22,rice,Central Plateau,Kharif,5.04
99,36,46,26.42,82.75,5.52,199.51,rice,Coastal Delta,Kharif,4.81
94,49,39,24.62,84.01,6.19,244.05,rice,Coastal Delta,Rabi,5.09
89,48,42,21.31,85.4,6.5,212.2,rice,Northeast Plain,Rabi,5.17
102,40,42,23.55,82.35,6.18,247.68,rice,Southern Hills,Zaid,5.39
92,45,37,27.06,83.56,5.83,218.4,rice,Western Dry Zone,Kharif,5.54
81,41,36,24.4,82.33,5.82,257.37,rice,Coastal Delta,Whole Year,5.26
91,41,42,25.33,80.6,5.97,236.61,rice,Central Plateau,Whole Year,5.73
100,36,34,26.46,81.01,6.0,243.01,rice,Central Plateau,Rabi,4.8
87,52,31,24.98,85.08,5.42,212.82,rice,Southern Hills,Rabi,4.7
90,35,50,22.85,78.49,4.75,235.12,rice,Northeast Plain,Zaid,5.43
82,40,42,21.95,85.41,5.8,230.23,rice,Northeast Plain,Kharif,5.42
101,51,43,22.9,82.67,5.52,209.63,rice,Central Plateau,Rabi,5.58
91,46,35,21.17,79.74,6.22,217.42,rice,Southern Hills,Kharif,5.13
104,45,38,23.39,81.67,6.45,207.18,rice,Northeast Plain,Zaid,5.42
92,49,39,23.18,84.22,6.25,200.54,rice,Central Plateau,Zaid,5.31
102,41,34,26.16,80.19,5.94,199.19,rice,Southern Hills,Whole Year,5.44
84,46,33,21.98,82.53,5.17,246.8,rice,Western Dry Zone,Kharif,5.23
79,53,38,24.01,82.81,5.47,226.48,rice,Western Dry Zone,Rabi,4.97
102,41,42,21.08,81.38,5.19,219.96,rice,Coastal Delta,Rabi,4.64
87,36,35,27.46,85.64,6.25,212.91,rice,Western Dry Zone,Whole Year,5.4
87,41,43,22.66,79.14,5.64,234.95,rice,Western Dry Zone,Whole Year,4.58
88,47,33,20.49,79.51,4.9,195.62,rice,Western Dry Zone,Kharif,4.55
90,41,42,24.45,79.97,6.32,250.99,rice,Coastal Delta,Kharif,5.16
84,50,47,26.32,82.9,6.29,213.66,rice,Northeast Plain,Zaid,5.1
82,44,37,24.06,81.61,5.48,246.42,rice,Coastal Delta,Rabi,5.71
96,36,35,24.07,82.1,6.4,240.49,rice,Coastal Delta,Kharif,5.1
88,40,41,22.5,78.68,6.28,217.38,rice,Central Plateau,Rabi,5.86
91,44,40,21.99,79.66,5.99,229.81,rice,Central Plateau,Rabi,5.31
93,44,36,22.58,79.23,5.65,240.32,rice,Southern Hills,Rabi,5.33
87,53,38,24.89,77.75,6.18,247.68,rice,Western Dry Zone,Kharif,4.66
80,49,36,27.09,83.58,4.92,243.08,rice,Western Dry Zone,Whole Year,4.8
99,39,40,24.31,82.0,5.59,237.9,rice,Coastal Delta,Rabi,5.12
86,40,42,22.75,79.97,5.35,195.43,rice,Western Dry Zone,Zaid,4.69
100,38,36,24.19,86.1,5.71,209.05,rice,Northeast Plain,Rabi,5.3
96,42,38,24.51,83.06,5.83,223.4,rice,Southern Hills,Kharif,5.85
82,38,46,21.67,81.55,5.45,205.38,rice,Western Dry Zone,Rabi,5.59
83,37,45,26.24,83.02,6.18,210.25,rice,Central Plateau,Zaid,4.59
79,41,38,22.49,79.71,5.18,230.51,rice,Central Plateau,Kharif,4.71
79,34,38,22.87,81.61,5.53,225.69,rice,Coastal Delta,Zaid,5.04
100,39,36,24.72,79.18,5.87,252.57,rice,Central Plateau,Rabi,5.58
82,44,39,23.91,84.6,4.97,247.14,rice,Northeast Plain,Rabi,4.69
85,35,40,24.23,84.73,6.14,207.94,rice,Southern Hills,Kharif,5.61
96,41,49,25.86,79.63,5.73,217.38,rice,Southern Hills,Whole Year,5.78
86,43,47,24.0,85.0,5.28,218.97,rice,Western Dry Zone,Zaid,5.81
102,41,33,25.26,81.68,6.57,208.14,rice,Western Dry Zone,Kharif,4.61
87,42,40,22.97,79.27,5.3,210.32,rice,Coastal Delta,Rabi,4.96
98,43,38,24.0,82.08,6.02,238.89,rice,Western Dry Zone,Zaid,5.55
92,44,46,27.04,84.56,4.95,227.81,rice,Northeast Plain,Zaid,5.39
84,44,34,26.19,86.83,6.14,226.23,rice,Central Plateau,Kharif,4.87
83,48,31,26.39,83.62,5.8,221.14,rice,Coastal Delta,Rabi,5.15
88,41,41,22.15,83.45,5.19,242.18,rice,Coastal Delta,Rabi,5.47
101,44,42,24.94,78.38,5.58,200.82,rice,Central Plateau,Kharif,4.52
100,33,39,22.76,78.52,5.3,255.9,rice,Coastal Delta,Rabi,4.73
86,49,41,27.87,82.81,6.17,248.83,rice,Coastal Delta,Rabi,5.51
102,37,43,20.4,84.73,5.29,257.34,rice,Central Plateau,Kharif,5.2
93,47,47,23.88,81.0,6.28,215.75,rice,Coastal Delta,Rabi,5.59
94,46,44,23.45,82.06,6.2,243.09,rice,Coastal Delta,Rabi,5.67
84,37,41,25.33,82.36,5.18,218.33,rice,Western Dry Zone,Kharif,5.22
89,31,47,25.12,82.59,6.52,244.52,rice,Central Plateau,Kharif,5.36
86,39,49,24.78,79.8,6.47,236.97,rice,Coastal Delta,Whole Year,5.37
85,32,43,22.8,78.19,5.36,218.38,rice,Western Dry Zone,Whole Year,5.39
86,48,34,22.19,81.97,6.52,196.54,rice,Coastal Delta,Whole Year,5.66
87,45,32,21.54,79.67,6.02,256.76,rice,Central Plateau,Kharif,4.75
92,44,34,22.42,77.99,5.42,228.0,rice,Coastal Delta,Rabi,5.79
91,40,43,24.4,60.94,5.85,109.68,maize,Central Plateau,Kharif,4.65
72,45,46,25.46,60.57,6.16,103.67,maize,Coastal Delta,Whole Year,4.51
86,54,40,22.14,54.95,6.06,88.44,maize,Northeast Plain,Zaid,4.5
80,42,29,23.63,56.12,5.88,83.27,maize,Western Dry Zone,Whole Year,4.11
87,44,45,27.22,63.71,6.05,87.3,maize,Coastal Delta,Rabi,3.73
78,41,30,19.07,57.56,6.06,90.47,maize,Southern Hills,Zaid,3.99
77,36,37,23.38,63.13,6.08,93.66,maize,Southern Hills,Zaid,4.78
81,49,36,27.21,64.76,6.43,95.17,maize,Northeast Plain,Zaid,4.62
75,45,45,24.24,55.64,5.99,93.25,maize,Northeast Plain,Kharif,4.4
92,49,50,22.78,58.75,6.41,76.09,maize,Northeast Plain,Kharif,4.6
82,39,34,22.63,65.29,6.31,96.26,maize,Central Plateau,Rabi,3.64
86,48,34,17.81,59.51,6.47,86.37,maize,Southern Hills,Kharif,4.19
83,45,33,24.88,59.49,6.34,83.3,maize,Southern Hills,Whole Year,4.44
87,43,33,21.54,59.88,6.07,80.57,maize,Northeast Plain,Zaid,3.75
86,49,39,20.01,64.37,6.38,81.92,maize,Coastal Delta,Kharif,3.91
91,48,45,23.85,60.26,5.86,98.03,maize,Southern Hills,Rabi,4.48
84,44,39,22.84,55.14,6.22,92.04,maize,Southern Hills,Whole Year,4.33
76,42,38,23.03,60.86,6.0,95.11,maize,Southern Hills,Whole Year,3.6
78,46,33,27.05,58.81,6.19,79.25,maize,Western Dry Zone,Kharif,4.41
85,35,34,25.25,61.66,5.76,102.3,maize,Northeast Plain,Kharif,3.73
74,40,48,17.65,65.67,6.24,106.86,maize,Coastal Delta,Whole Year,3.96
90,45,32,23.87,61.93,6.02,94.68,maize,Southern Hills,Rabi,4.43
90,46,46,23.15,61.97,6.25,88.62,maize,Northeast Plain,Kharif,3.71
75,43,35,26.61,61.95,6.43,94.56,maize,Central Plateau,Kharif,3.5
74,44,39,27.45,52.54,6.2,77.53,maize,Southern Hills,Whole Year,4.62
73,47,43,23.15,61.1,6.74,97.94,maize,Western Dry Zone,Zaid,4.16
75,50,48,26.57,62.55,5.68,93.04,maize,Northeast Plain,Rabi,4.58
81,50,46,23.12,65.18,6.17,104.02,maize,Southern Hills,Kharif,3.48
75,48,49,23.63,59.16,5.8,93.54,maize,Northeast Plain,Zaid,3.99
73,37,33,25.91,58.12,6.1,86.05,maize,Western Dry Zone,Rabi,4.58
66,47,37,23.94,60.95,6.16,91.43,maize,Coastal Delta,Whole Year,4.69
76,46,38,22.95,61.07,5.82,94.15,maize,Western Dry Zone,Whole Year,4.86
90,47,31,24.33,62.77,5.99,94.48,maize,Central Plateau,Kharif,3.73
92,48,39,22.25,64.28,6.07,91.1,maize,Coastal Delta,Whole Year,4.63
81,46,31,23.12,59.07,6.09,100.42,maize,Western Dry Zone,Zaid,4.32
73,41,29,24.7,62.23,6.15,81.98,maize,Western Dry Zone,Whole Year,4.45
78,37,40,25.42,60.75,6.67,91.85,maize,Northeast Plain,Rabi,4.84
84,37,40,22.47,58.77,6.21,84.29,maize,Southern Hills,Whole Year,4.79
71,37,29,26.83,58.57,6.69,98.92,maize,Central Plateau,Whole Year,3.78
85,40,35,21.06,53.94,6.23,73.92,maize,Northeast Plain,Rabi,4.81
78,44,28,20.27,63.9,5.62,74.8,maize,Western Dry Zone,Kharif,4.54
79,44,39,22.94,59.12,6.17,86.71,maize,Western Dry Zone,Whole Year,4.46
78,36,33,24.31,57.76,6.06,88.26,maize,Southern Hills,Zaid,4.43
82,46,34,21.0,66.2,5.75,83.92,maize,Coastal Delta,Zaid,4.71
68,39,36,19.7,65.64,6.36,94.78,maize,Central Plateau,Rabi,3.97
93,47,43,19.13,60.99,6.1,81.67,maize,Northeast Plain,Whole Year,4.09
80,47,35,25.27,55.08,5.97,93.38,maize,Coastal Delta,Zaid,3.79
88,48,40,26.43,57.01,6.67,81.08,maize,Central Plateau,Zaid,4.14
83,45,30,24.01,56.57,5.77,90.86,maize,Central Plateau,Whole Year,4.26
79,52,38,18.5,58.38,6.2,98.57,maize,Coastal Delta,Kharif,3.86
81,53,40,25.87,59.7,6.68,87.38,maize,Coastal Delta,Whole Year,3.51
76,54,42,20.37,62.92,6.22,91.64,maize,Central Plateau,Whole Year,4.84
91,36,36,27.44,61.47,6.23,102.89,maize,Central Plateau,Whole Year,4.42
72,42,40,18.93,60.11,6.16,86.01,maize,Central Plateau,Whole Year,4.32
82,46,43,25.34,60.39,6.21,72.32,maize,Coastal Delta,Rabi,3.94
75,47,36,27.41,57.88,6.15,100.45,maize,Central Plateau,Kharif,4.2
88,44,32,22.46,62.44,6.18,93.07,maize,Central Plateau,Zaid,4.58
85,48,38,21.64,56.5,6.12,88.33,maize,Western Dry Zone,Zaid,3.97
80,45,40,25.31,56.3,6.25,92.29,maize,Northeast Plain,Rabi,4.85
71,43,36,20.85,64.98,6.16,80.78,maize,Coastal Delta,Rabi,3.56
78,51,33,22.78,56.75,5.9,95.32,maize,Western Dry Zone,Zaid,4.38
84,53,42,21.41,62.41,5.79,81.95,maize,Southern Hills,Zaid,3.54
86,42,29,27.05,60.95,6.02,96.67,maize,Northeast Plain,Whole Year,4.33
76,46,33,24.21,53.45,6.5,91.03,maize,Coastal Delta,Rabi,3.78
90,44,39,27.42,54.19,5.7,91.59,maize,Southern Hills,Kharif,3.5
75,52,47,19.69,56.75,6.35,78.22,maize,Central Plateau,Kharif,3.75
88,45,47,23.49,66.01,6.48,94.13,maize,Coastal Delta,Rabi,4.65
75,49,34,19.02,56.73,5.87,106.8,maize,Northeast Plain,Zaid,4.67
70,35,32,19.26,61.96,6.52,80.35,maize,Central Plateau,Whole Year,4.04
75,41,37,26.22,59.36,6.03,98.78,maize,Western Dry Zone,Whole Year,3.83
86,40,47,20.31,64.68,5.98,90.54,maize,Southern Hills,Whole Year,3.86
75,49,34,24.54,62.37,6.11,81.37,maize,Western Dry Zone,Zaid,4.0
90,48,31,22.24,58.75,5.87,91.1,maize,Central Plateau,Whole Year,4.61
74,46,35,21.37,60.62,5.98,82.97,maize,Southern Hills,Kharif,3.72
77,41,48,24.5,56.55,6.39,91.08,maize,Northeast Plain,Whole Year,4.13
91,49,42,23.83,56.82,6.55,97.25,maize,Central Plateau,Zaid,4.13
77,47,38,21.67,57.72,6.35,82.59,maize,Western Dry Zone,Whole Year,3.99
70,45,48,24.89,61.41,5.94,83.95,maize,Southern Hills,Kharif,3.87
82,40,38,22.61,62.21,6.04,90.5,maize,Southern Hills,Zaid,4.41
70,46,33,21.04,60.88,6.45,99.23,maize,Coastal Delta,Rabi,4.55
91,51,39,24.44,60.99,5.91,92.9,maize,Central Plateau,Kharif,4.1
93,49,45,20.47,67.57,5.66,93.31,maize,Southern Hills,Kharif,4.42
86,47,33,24.86,63.86,5.78,93.85,maize,Coastal Delta,Zaid,4.0
95,42,34,19.82,56.84,6.26,77.03,maize,Western Dry Zone,Whole Year,3.43
72,38,43,21.96,60.53,6.5,83.86,maize,Southern Hills,Whole Year,4.35
86,39,28,23.16,62.81,6.18,79.69,maize,Western Dry Zone,Zaid,3.92
81,47,40,22.44,56.93,6.16,78.29,maize,Central Plateau,Kharif,4.61
81,44,38,25.09,65.51,5.72,80.77,maize,Central Plateau,Rabi,4.53
81,42,41,26.11,57.07,6.11,91.42,maize,Coastal Delta,Rabi,3.79
76,39,42,18.59,63.41,6.27,95.27,maize,Western Dry Zone,Zaid,4.46
79,50,35,20.55,64.39,6.47,90.36,maize,Southern Hills,Kharif,3.56
78,44,38,22.71,60.44,6.66,84.32,maize,Coastal Delta,Zaid,4.89
80,42,29,22.67,61.38,6.03,79.17,maize,Northeast Plain,Kharif,3.92
92,44,33,22.54,62.14,6.47,102.96,maize,Northeast Plain,Zaid,3.54
87,46,37,17.77,59.74,6.15,87.2,maize,Western Dry Zone,Rabi,4.8
75,48,31,25.44,58.74,5.9,96.8,maize,Central Plateau,Whole Year,4.7
79,51,41,17.44,58.28,5.61,96.55,maize,Southern Hills,Zaid,4.3
75,48,27,17.43,63.54,6.27,94.49,maize,Coastal Delta,Whole Year,4.16
83,50,27,19.88,55.98,6.2,75.22,maize,Southern Hills,Kharif,4.8
83,41,35,20.57,56.31,6.11,93.49,maize,Southern Hills,Kharif,4.42
43,53,81,18.04,20.13,6.42,44.86,chickpea,Northeast Plain,Whole Year,1.85
44,60,77,19.26,18.21,6.76,29.69,chickpea,Northeast Plain,Rabi,2.26
33,69,84,22.04,16.76,6.6,40.65,chickpea,Central Plateau,Kharif,1.63
42,64,70,21.34,21.75,5.91,47.53,chickpea,Coastal Delta,Rabi,2.2
43,56,74,22.04,17.23,6.25,47.06,chickpea,Southern Hills,Zaid,1.91
47,55,71,20.58,20.18,6.41,40.37,chickpea,Coastal Delta,Whole Year,2.09
47,64,79,21.13,22.14,5.94,44.64,chickpea,Northeast Plain,Rabi,1.75
45,59,87,23.57,16.26,6.81,46.16,chickpea,Northeast Plain,Kharif,2.23
43,52,80,19.66,13.59,6.66,26.02,chickpea,Northeast Plain,Rabi,1.54
41,58,72,21.84,13.34,6.69,47.88,chickpea,Central Plateau,Kharif,1.79
44,67,78,20.18,16.42,6.12,43.79,chickpea,Western Dry Zone,Rabi,1.95
42,71,72,17.91,17.94,6.34,46.98,chickpea,Central Plateau,Kharif,2.02
44,60,71,22.35,15.48,6.45,35.9,chickpea,Southern Hills,Kharif,2.27
44,62,78,22.54,18.09,6.65,33.26,chickpea,Southern Hills,Kharif,2.05
46,65,66,19.05,12.79,6.89,34.22,chickpea,Western Dry Zone,Rabi,1.97
53,65,78,22.09,16.54,6.68,34.98,chickpea,Western Dry Zone,Kharif,1.49
35,55,79,23.03,17.07,6.31,47.65,chickpea,Southern Hills,Rabi,1.54
44,66,74,18.18,18.93,6.74,36.81,chickpea,Southern Hills,Zaid,1.81
40,63,70,17.56,18.42,6.66,48.04,chickpea,Central Plateau,Rabi,1.7
52,56,76,22.23,21.03,6.36,32.32,chickpea,Central Plateau,Whole Year,2.17
42,64,77,20.31,21.03,6.19,39.17,chickpea,Northeast Plain,Zaid,1.86
42,55,77,22.37,18.98,6.37,32.54,chickpea,Western Dry Zone,Zaid,2.09
35,73,79,20.55,16.85,6.17,45.87,chickpea,Central Plateau,Whole Year,2.16
45,62,78,21.67,14.99,5.96,45.07,chickpea,Western Dry Zone,Rabi,1.97
45,59,70,19.9,20.24,6.74,48.02,chickpea,Western Dry Zone,Kharif,1.66
38,68,79,18.07,22.44,6.55,45.52,chickpea,Northeast Plain,Kharif,2.04
39,60,83,23.02,17.07,6.42,30.34,chickpea,Western Dry Zone,Kharif,1.78
37,62,79,22.89,16.05,6.38,47.59,chickpea,Central Plateau,Kharif,1.45
40,55,76,17.57,17.28,6.72,46.55,chickpea,Central Plateau,Kharif,1.51
37,60,85,21.26,14.6,6.76,49.94,chickpea,Coastal Delta,Kharif,2.2
49,61,84,19.4,16.61,6.09,50.68,chickpea,Southern Hills,Kharif,1.58
46,57,70,21.65,20.04,6.48,48.83,chickpea,Coastal Delta,Rabi,1.47
42,69,75,21.77,18.18,6.23,29.83,chickpea,Southern Hills,Whole Year,2.16
48,60,70,19.29,19.61,6.65,30.62,chickpea,Southern Hills,Whole Year,2.03
52,53,78,20.96,15.67,6.28,42.32,chickpea,Southern Hills,Rabi,1.7
34,57,81,22.66,19.24,6.79,47.52,chickpea,Southern Hills,Kharif,1.57
48,62,68,16.91,18.61,6.05,34.45,chickpea,Coastal Delta,Zaid,1.64
51,66,78,21.17,16.99,6.92,45.11,chickpea,Southern Hills,Rabi,2.16
39,72,76,17.37,20.6,6.19,36.92,chickpea,Central Plateau,Whole Year,1.47
40,62,73,18.04,18.86,6.64,37.46,chickpea,Central Plateau,Kharif,2.37
39,68,86,21.23,16.02,6.47,31.99,chickpea,Western Dry Zone,Rabi,2.03
35,73,71,17.83,16.62,6.55,49.5,chickpea,Central Plateau,Kharif,1.51
51,67,72,17.88,17.39,7.0,34.72,chickpea,Southern Hills,Kharif,1.9
53,64,82,16.84,19.05,6.6,30.42,chickpea,Western Dry Zone,Rabi,1.5
41,56,72,19.44,15.13,6.55,36.89,chickpea,Northeast Plain,Kharif,1.96
44,61,80,23.13,18.51,6.93,42.22,chickpea,Coastal Delta,Kharif,2.16
47,63,71,19.35,18.59,6.19,44.85,chickpea,Coastal Delta,Kharif,1.97
43,51,84,16.69,17.82,6.63,50.18,chickpea,Southern Hills,Rabi,1.56
50,68,83,21.54,18.66,6.42,44.32,chickpea,Southern Hills,Rabi,1.48
38,59,85,19.85,18.15,6.7,40.5,chickpea,Northeast Plain,Kharif,1.57
47,71,65,22.18,16.75,6.99,38.04,chickpea,Northeast Plain,Zaid,1.89
37,69,81,19.86,20.52,7.07,39.16,chickpea,Western Dry Zone,Rabi,1.62
49,68,77,23.84,15.67,6.33,39.02,chickpea,Central Plateau,Zaid,2.1
31,67,74,19.77,14.18,6.27,33.44,chickpea,Central Plateau,Rabi,2.32
45,59,69,19.19,14.7,6.64,40.7,chickpea,Northeast Plain,Zaid,2.38
45,67,79,18.78,17.03,6.43,53.38,chickpea,Southern Hills,Rabi,2.08
34,63,78,20.04,18.21,6.95,37.46,chickpea,Northeast Plain,Kharif,2.48
52,68,75,20.63,17.56,6.91,39.09,chickpea,Northeast Plain,Rabi,1.91
54,61,85,19.56,18.47,6.75,31.47,chickpea,Western Dry Zone,Kharif,2.14
46,65,87,22.18,14.7,6.19,37.7,chickpea,Central Plateau,Zaid,1.7
55,58,80,22.94,20.65,6.95,44.18,chickpea,Coastal Delta,Zaid,1.83
32,68,78,19.89,17.75,6.77,41.58,chickpea,Southern Hills,Rabi,1.97
41,61,81,22.57,18.09,6.36,38.83,chickpea,Northeast Plain,Zaid,1.58
41,63,83,19.47,17.6,5.91,34.12,chickpea,Coastal Delta,Whole Year,1.83
42,65,69,21.1,17.1,6.84,40.71,chickpea,Southern Hills,Kharif,2.07
40,66,82,17.72,18.6,6.69,32.03,chickpea,Coastal Delta,Rabi,1.74
35,58,86,20.13,16.84,6.48,35.64,chickpea,Northeast Plain,Kharif,1.69
50,55,79,16.96,19.68,6.32,42.75,chickpea,Coastal Delta,Kharif,2.0
44,64,67,18.51,17.19,6.79,38.97,chickpea,Southern Hills,Rabi,2.0
46,72,70,18.47,16.93,6.87,45.47,chickpea,Northeast Plain,Whole Year,1.86
30,66,72,18.26,18.88,6.4,33.45,chickpea,Coastal Delta,Kharif,2.21
40,60,81,21.59,20.12,6.86,45.57,chickpea,Northeast Plain,Whole Year,2.25
46,73,75,20.64,17.2,6.77,40.37,chickpea,Coastal Delta,Kharif,1.53
39,52,75,21.86,15.58,5.81,38.94,chickpea,Southern Hills,Rabi,1.55
45,63,75,23.8,15.68,6.54,30.36,chickpea,Southern Hills,Rabi,1.56
45,72,90,21.51,17.81,6.57,46.38,chickpea,Southern Hills,Rabi,1.91
45,69,88,21.93,18.99,6.46,39.89,chickpea,Western Dry Zone,Zaid,1.72
41,55,76,21.85,19.65,6.8,40.44,chickpea,Southern Hills,Zaid,2.29
43,64,76,20.43,16.9,6.37,47.24,chickpea,Western Dry Zone,Kharif,1.92
45,70,80,20.36,17.72,5.94,46.5,chickpea,Central Plateau,Whole Year,2.4
48,61,80,21.68,14.72,6.63,50.37,chickpea,Western Dry Zone,Zaid,1.84
33,72,71,22.83,17.51,6.72,51.14,chickpea,Central Plateau,Rabi,2.04
54,61,83,17.7,17.95,6.42,35.96,chickpea,Central Plateau,Rabi,2.26
47,70,74,19.47,15.13,6.13,41.37,chickpea,Western Dry Zone,Zaid,1.77
46,52,72,16.16,18.39,6.85,46.67,chickpea,Northeast Plain,Kharif,1.79
54,58,87,19.21,15.86,7.08,43.35,chickpea,Coastal Delta,Zaid,1.69
48,64,83,18.31,17.64,6.93,52.37,chickpea,Coastal Delta,Whole Year,1.65
45,58,71,19.78,17.82,6.53,32.89,chickpea,Western Dry Zone,Zaid,1.79
43,64,80,21.3,16.11,6.26,48.94,chickpea,Western Dry Zone,Rabi,2.4
50,56,71,22.03,15.34,6.16,37.98,chickpea,Western Dry Zone,Kharif,1.75
49,61,74,22.41,15.61,5.92,51.64,chickpea,Northeast Plain,Zaid,2.21
40,63,75,22.9,20.61,5.99,37.84,chickpea,Central Plateau,Rabi,2.41
37,65,69,21.69,21.77,6.68,53.17,chickpea,Western Dry Zone,Whole Year,1.94
33,68,82,20.94,15.08,5.96,50.18,chickpea,Western Dry Zone,Kharif,2.37
50,65,81,17.2,14.17,6.26,28.38,chickpea,Central Plateau,Kharif,1.56
41,65,75,22.36,17.69,6.12,51.75,chickpea,Northeast Plain,Whole Year,1.9
40,65,70,21.6,15.36,6.5,26.23,chickpea,Central Plateau,Rabi,1.9
37,60,79,18.82,19.68,6.78,42.72,chickpea,Central Plateau,Whole Year,2.09
46,62,68,20.43,16.02,6.68,40.61,chickpea,Coastal Delta,Zaid,1.83
53,72,77,17.64,20.08,6.1,44.58,chickpea,Southern Hills,Zaid,1.71
16,60,57,17.61,20.1,5.4,65.18,kidneybeans,Southern Hills,Kharif,1.37
16,62,55,22.1,18.54,5.87,83.89,kidneybeans,Western Dry Zone,Rabi,1.47
24,60,51,14.93,22.33,5.66,85.3,kidneybeans,Central Plateau,Kharif,1.49
17,64,51,18.17,20.46,5.69,102.31,kidneybeans,Northeast Plain,Kharif,1.16
34,54,55,22.51,21.13,5.69,83.1,kidneybeans,Western Dry Zone,Kharif,1.84
18,59,51,15.96,16.5,5.68,77.31,kidneybeans,Coastal Delta,Rabi,1.84
31,60,63,16.84,24.44,5.68,86.12,kidneybeans,Coastal Delta,Kharif,1.27
16,59,59,23.91,18.73,5.44,51.4,kidneybeans,Northeast Plain,Kharif,1.81
17,52,57,24.29,21.9,5.95,82.97,kidneybeans,Western Dry Zone,Whole Year,1.71
22,62,56,18.38,20.95,5.98,65.75,kidneybeans,Western Dry Zone,Zaid,1.28
35,65,52,23.61,17.01,5.97,96.53,kidneybeans,Northeast Plain,Kharif,1.82
18,61,56,15.86,20.26,6.1,77.07,kidneybeans,Northeast Plain,Rabi,1.26
27,58,56,20.6,21.62,5.56,89.38,kidneybeans,Northeast Plain,Whole Year,1.26
23,55,59,20.79,25.88,5.69,72.34,kidneybeans,Coastal Delta,Kharif,1.36
24,57,62,16.91,23.21,5.99,77.56,kidneybeans,Western Dry Zone,Kharif,1.21
16,66,50,19.98,21.37,5.83,64.67,kidneybeans,Coastal Delta,Kharif,1.66
24,69,56,22.15,18.56,5.68,80.18,kidneybeans,Southern Hills,Whole Year,1.36
26,66,51,23.65,18.95,5.74,57.32,kidneybeans,Northeast Plain,Zaid,1.79
31,59,50,23.19,20.41,5.74,93.37,kidneybeans,Northeast Plain,Whole Year,1.86
32,55,51,16.4,17.39,6.01,84.55,kidneybeans,Coastal Delta,Whole Year,1.47
17,59,49,15.41,22.14,5.44,65.22,kidneybeans,Central Plateau,Whole Year,1.85
18,61,62,15.04,21.79,6.06,79.47,kidneybeans,Western Dry Zone,Kharif,1.47
15,60,60,20.14,24.39,5.33,70.43,kidneybeans,Western Dry Zone,Whole Year,1.59
26,58,53,17.95,23.51,5.95,101.55,kidneybeans,Southern Hills,Whole Year,1.29
